model,dataset,beam,samples,metric,origin_mean,tree_mean,margin,verdict,p_value,test,ci_lower,ci_upper
PHI35,CNN,9,1000,score,0.1932648782099823,0.1930894570275271,0.0006480949613371,no_sig,0.5924228879327686,paired t-test,-0.0008235161437923,0.0004726737788819
PHI35,GSM8K,3,1000,mem_per_token,2.4740697177497477,1.408599799979588,0.04038462067053461,better,5.742484834866944e-74,paired t-test,-1.1058545384406937,-1.0250852970996245
PHI35,GSM8K,3,1000,tok_per_sec,12.678770150720773,12.138991102298926,0.1262494261487496,worse,2.1856773704444803e-13,paired t-test,-0.6660284745706,-0.4135296222731008
PHI35,GSM8K,3,1000,score,0.72,0.69,2123.0685755817385,no_sig,0.3710933695226975,McNemar test,49.050476547465614,4295.187627710942
PHI35,GSM8K,15,1000,mem_per_token,12.241407553297936,4.474872322437742,0.1933553372545802,better,1.2978574854277561e-91,paired t-test,-7.959890568114775,-7.573179893605615
PHI35,GSM8K,15,1000,tok_per_sec,10.230924363814191,8.81381064383179,0.1226694660272033,worse,2.2243536185487398e-41,paired t-test,-1.5397831860096065,-1.2944442539552
PHI35,GSM8K,15,1000,score,0.74,0.72,227.0605890583602,no_sig,0.7236736098317629,McNemar test,23.439213543417356,477.5603916601377
PHI35,GSM8K,1,1000,mem_per_token,0.8707882617636611,,,n/a,,paired t-test,,
PHI35,GSM8K,1,1000,tok_per_sec,13.508500516494392,,,n/a,,paired t-test,,
PHI35,GSM8K,1,1000,score,0.72,,,n/a,,paired t-test,,
PHI35,GSM8K,9,1000,mem_per_token,7.350900165616964,2.8975338489405864,0.10772951944726294,better,7.865203043170844e-93,paired t-test,-4.561095836123641,-4.3456367972291154
PHI35,GSM8K,9,1000,tok_per_sec,11.048582788285705,9.896631342445977,0.09362599757426437,worse,1.0991570754134138e-43,paired t-test,-1.2455774434139908,-1.058325448265462
PHI35,GSM8K,9,1000,score,0.71,0.73,115.63730802806727,no_sig,0.7518296340458492,McNemar test,16.630212843167605,247.90482889930215
MISTRAL,HUMAN_EVAL,3,1000,mem_per_token,14.226701748657703,0.5213799310186755,0.8187743225645505,better,3.671781109910968e-74,paired t-test,-14.52409614020358,-12.88654749507448
MISTRAL,HUMAN_EVAL,3,1000,tok_per_sec,3.713326703196674,7.317642260988519,0.03171073291994175,better,5.563403582835367e-205,paired t-test,3.572604824871904,3.6360262907117873
MISTRAL,HUMAN_EVAL,3,1000,score,0.7804878048780488,0.7804878048780488,,no_sig,1.0,McNemar test,,
